14.02.2014	98937	33021
15.02.2014	49943	17362
16.02.2014	17998	6240
17.02.2014	120867	40728
18.02.2014	125523	40600
19.02.2014	136525	44151
20.02.2014	112707	37858
21.02.2014	99684	34461
22.02.2014	23077	8015
23.02.2014	13122	4909
24.02.2014	109818	26642
25.02.2014	109990	37436
26.02.2014	96046	33657
27.02.2014	97175	32164
28.02.2014	103914	35917
01.03.2014	45703	16567
02.03.2014	13455	5342
03.03.2014	83568	29395
04.03.2014	83981	30206
05.03.2014	80625	28898
06.03.2014	84119	31231
07.03.2014	85965	32307
08.03.2014	15567	6340
09.03.2014	16252	6703
10.03.2014	38543	15611
11.03.2014	156465	57857
12.03.2014	138638	50122
13.03.2014	129508	46311
14.03.2014	141953	47121
15.03.2014	44985	17433
16.03.2014	14933	5836
17.03.2014	142514	47209
18.03.2014	156088	49988
19.03.2014	139541	43046
20.03.2014	117618	38204
21.03.2014	105636	36734
22.03.2014	44410	16117
23.03.2014	14307	5160
24.03.2014	104482	35526
25.03.2014	98661	33206
26.03.2014	84803	28594
27.03.2014	74787	25534
28.03.2014	80454	27773
29.03.2014	32059	11110
30.03.2014	13927	5234
31.03.2014	90301	30404
01.04.2014	89482	31363
02.04.2014	76538	27375
03.04.2014	67756	23446
04.04.2014	66654	22437
05.04.2014	33301	11982
06.04.2014	10590	4111
07.04.2014	95077	33989
08.04.2014	101555	36747
09.04.2014	102465	36534
10.04.2014	111147	38305
11.04.2014	113202	37647
12.04.2014	47698	16850
13.04.2014	16684	6153
14.04.2014	135589	42353
15.04.2014	138114	41809
16.04.2014	124836	35468
17.04.2014	123076	32358
18.04.2014	141689	37977
19.04.2014	44898	13824
20.04.2014	5018	1521
21.04.2014	14974	5046
22.04.2014	129738	39218
23.04.2014	114247	34524
24.04.2014	104956	32080
25.04.2014	104905	32223
26.04.2014	39099	12446
27.04.2014	11285	3769
28.04.2014	93290	29057
29.04.2014	109421	33420
30.04.2014	129727	39737
01.05.2014	18698	5959
02.05.2014	15618	4757
03.05.2014	23552	7786
04.05.2014	11820	3877
05.05.2014	82732	25223
06.05.2014	87377	27382
07.05.2014	86293	27902
08.05.2014	95686	30373
09.05.2014	12577	4013
10.05.2014	15327	4744
11.05.2014	14083	5180
12.05.2014	123169	38623
13.05.2014	134328	39003
14.05.2014	120477	33823
15.05.2014	105600	24912
16.05.2014	118798	27216
17.05.2014	44750	12594
18.05.2014	15767	4761
19.05.2014	156926	39628
20.05.2014	146236	35792
21.05.2014	106049	27810
22.05.2014	99225	25202
23.05.2014	91814	22683
24.05.2014	17771	4678
25.05.2014	10772	3016
26.05.2014	96125	24386
27.05.2014	69489	16351
28.05.2014	81270	21031
29.05.2014	78141	20519
30.05.2014	77793	19180
31.05.2014	32547	9700
01.06.2014	17204	4979
02.06.2014	78293	17986
